filepath,label
data\raw\bottle\test\good\002.png,0
data\synthetic\002_defect.png,1
data\raw\bottle\test\good\014.png,0
data\synthetic\014_defect.png,1
data\raw\bottle\test\good\018.png,0
data\synthetic\018_defect.png,1
data\raw\bottle\train\good\007.png,0
data\synthetic\007_defect.png,1
data\raw\bottle\train\good\008.png,0
data\synthetic\008_defect.png,1
data\raw\bottle\train\good\009.png,0
data\synthetic\009_defect.png,1
data\raw\bottle\train\good\011.png,0
data\synthetic\011_defect.png,1
data\raw\bottle\train\good\012.png,0
data\synthetic\012_defect.png,1
data\raw\bottle\train\good\015.png,0
data\synthetic\015_defect.png,1
data\raw\bottle\train\good\016.png,0
data\synthetic\016_defect.png,1
data\raw\bottle\train\good\025.png,0
data\synthetic\025_defect.png,1
data\raw\bottle\train\good\032.png,0
data\synthetic\032_defect.png,1
data\raw\bottle\train\good\041.png,0
data\synthetic\041_defect.png,1
data\raw\bottle\train\good\042.png,0
data\synthetic\042_defect.png,1
data\raw\bottle\train\good\044.png,0
data\synthetic\044_defect.png,1
data\raw\bottle\train\good\045.png,0
data\synthetic\045_defect.png,1
data\raw\bottle\train\good\046.png,0
data\synthetic\046_defect.png,1
data\raw\bottle\train\good\047.png,0
data\synthetic\047_defect.png,1
data\raw\bottle\train\good\049.png,0
data\synthetic\049_defect.png,1
data\raw\bottle\train\good\051.png,0
data\synthetic\051_defect.png,1
data\raw\bottle\train\good\055.png,0
data\synthetic\055_defect.png,1
data\raw\bottle\train\good\056.png,0
data\synthetic\056_defect.png,1
data\raw\bottle\train\good\061.png,0
data\synthetic\061_defect.png,1
data\raw\bottle\train\good\064.png,0
data\synthetic\064_defect.png,1
data\raw\bottle\train\good\068.png,0
data\synthetic\068_defect.png,1
data\raw\bottle\train\good\070.png,0
data\synthetic\070_defect.png,1
data\raw\bottle\train\good\072.png,0
data\synthetic\072_defect.png,1
data\raw\bottle\train\good\075.png,0
data\synthetic\075_defect.png,1
data\raw\bottle\train\good\076.png,0
data\synthetic\076_defect.png,1
data\raw\bottle\train\good\077.png,0
data\synthetic\077_defect.png,1
data\raw\bottle\train\good\080.png,0
data\synthetic\080_defect.png,1
data\raw\bottle\train\good\083.png,0
data\synthetic\083_defect.png,1
data\raw\bottle\train\good\084.png,0
data\synthetic\084_defect.png,1
data\raw\bottle\train\good\085.png,0
data\synthetic\085_defect.png,1
data\raw\bottle\train\good\089.png,0
data\synthetic\089_defect.png,1
data\raw\bottle\train\good\094.png,0
data\synthetic\094_defect.png,1
data\raw\bottle\train\good\096.png,0
data\synthetic\096_defect.png,1
data\raw\bottle\train\good\097.png,0
data\synthetic\097_defect.png,1
data\raw\bottle\train\good\100.png,0
data\synthetic\100_defect.png,1
data\raw\bottle\train\good\101.png,0
data\synthetic\101_defect.png,1
data\raw\bottle\train\good\104.png,0
data\synthetic\104_defect.png,1
data\raw\bottle\train\good\105.png,0
data\synthetic\105_defect.png,1
data\raw\bottle\train\good\110.png,0
data\synthetic\110_defect.png,1
data\raw\bottle\train\good\114.png,0
data\synthetic\114_defect.png,1
data\raw\bottle\train\good\118.png,0
data\synthetic\118_defect.png,1
data\raw\bottle\train\good\119.png,0
data\synthetic\119_defect.png,1
data\raw\bottle\train\good\122.png,0
data\synthetic\122_defect.png,1
data\raw\bottle\train\good\124.png,0
data\synthetic\124_defect.png,1
data\raw\bottle\train\good\125.png,0
data\synthetic\125_defect.png,1
data\raw\bottle\train\good\128.png,0
data\synthetic\128_defect.png,1
data\raw\bottle\train\good\133.png,0
data\synthetic\133_defect.png,1
data\raw\bottle\train\good\136.png,0
data\synthetic\136_defect.png,1
data\raw\bottle\train\good\138.png,0
data\synthetic\138_defect.png,1
data\raw\bottle\train\good\147.png,0
data\synthetic\147_defect.png,1
data\raw\bottle\train\good\152.png,0
data\synthetic\152_defect.png,1
data\raw\bottle\train\good\159.png,0
data\synthetic\159_defect.png,1
data\raw\bottle\train\good\162.png,0
data\synthetic\162_defect.png,1
data\raw\bottle\train\good\163.png,0
data\synthetic\163_defect.png,1
data\raw\bottle\train\good\165.png,0
data\synthetic\165_defect.png,1
data\raw\bottle\train\good\168.png,0
data\synthetic\168_defect.png,1
data\raw\bottle\train\good\176.png,0
data\synthetic\176_defect.png,1
data\raw\bottle\train\good\177.png,0
data\synthetic\177_defect.png,1
data\raw\bottle\train\good\181.png,0
data\synthetic\181_defect.png,1
data\raw\bottle\train\good\186.png,0
data\synthetic\186_defect.png,1
data\raw\bottle\train\good\190.png,0
data\synthetic\190_defect.png,1
data\raw\bottle\train\good\193.png,0
data\synthetic\193_defect.png,1
data\raw\bottle\train\good\195.png,0
data\synthetic\195_defect.png,1
data\raw\bottle\train\good\196.png,0
data\synthetic\196_defect.png,1
data\raw\bottle\train\good\197.png,0
data\synthetic\197_defect.png,1
data\raw\bottle\train\good\199.png,0
data\synthetic\199_defect.png,1
data\raw\bottle\train\good\201.png,0
data\synthetic\201_defect.png,1
data\raw\bottle\train\good\205.png,0
data\synthetic\205_defect.png,1
data\raw\bottle\train\good\206.png,0
data\synthetic\206_defect.png,1
